,Question,Answer,Page
16,4. Pflichten im Schadenfall ,The Allianz Travel claims forms are available for download at www.allianz-travel.ch/claim. ,3
17,5. Breach of duties ,"If the entitled person is in breach of his/her duties, Allianz Travel can withhold or reduce benefit payments ",3
18,6. Non-insured events and services ,"If economic, trade or financial sanctions or embargoes on Switzerland, which are directly applicable to the contracting parties, oppose the insurance cover, said cover does not apply. That extends to economic, trade or financial sanctions or embargoes imposed by the United Nations, European Union or United States of America, provided they are not in opposition to Swiss legislation. ",3
19,7. Definitions ,"Electronic devices for mobile, network-independent data, language and picture communication and navigation, which are suitable for mobile use without causing any significant physical exertion due to their size and weight. Mobile telephones, tablets and laptops count as mobile devices for the purpose of these GTC. ",4
20,8. Premium adjustment (annual insurance) ,"Allianz Travel reserves the right to amend premiums for annual insurance and is accordingly entitled to request the amendment of the insurance contract. In this case, Allianz Travel shall inform the policyholder of the premium adjustment in writing at least 30 days before it comes into effect. The policyholder has the right to terminate the contract with effect from when the premium adjustment would apply. The policyholderâ€™s termination of cover is valid, provided it is received by Allianz Travel no later than the last day before the premium adjustment comes into force. ",4
21,9. Multiple insurance and claims against third parties ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",4
22,10. Limitation period ,Claims under the insurance contract expire five years after the occurrence of the event giving rise to the obligation to pay benefits. (exception: aircraft accident/accident benefit -the statutory limitation period is five years in this case). ,4
23,11. Place of jurisdiction and applicable law ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,4
24,12. Contact address ,A1 Cancellation charges ,4
25,1. Duration of cover ,"Insurance cover starts on the day the insurance policy is issued and ends on inception of the insured journey. The start of the trip is when the insured person enters the reserved means of transport or the reserved accommodation (hotel, holiday apartment etc.), if no means of transport was reserved. ",4
26,2. Insured amount ,With the annual insurance Secure Trip Budget the insured person retains an excess per loss event worth 20% of the contractually owed cancellation charges. ,4
27,3. Insurance benefits ,"If the insured person is unable to use a ticket to an event due to an insured occurrence, the associated costs are covered. The definition of a journey under Section I 7.6 does not apply. ",4
28,4. Insured events ,"If the insured person's passport or identity card is stolen just before the trip and, as a result, the insured person is unable to travel. Note: there are emergency passport offices at some airports. ",5
29,5. Non-insured events and services (in addition to Section I 6) ,"In addition to the following provisions, all the conditions applicable to the insurance components II A1: Cancellation charges apply to the cancellation charges for accommodation and further training. ",5
30,1. Insured amount ,The insured amount can be seen in the Table of Benefits. ,5
31,2. Journey ,The definition of a journey under Section I 7.6 does not apply. ,5
32,3. Duration of cover ,"Insurance cover incepts on the date of issue of the insurance policy and ends on the end date of the rental, booking of accommodation or further training, up to three years after taking out the insurance. ",5
33,4. Insurance benefits ,"Premature termination of tenancy agreements, booked accommodation or further training ",5
34,,,5
