,Question,Answer,Page
41,There are insured benefits.,Assumption of search and rescue costs.,10
41,4 benefits are insured.,Any search and rescue costs are assumed.,10
42,5 Duties in the event of a claim (in addition to section I 5) ,G Flight delay ,10
42,In addition to section I 5 there are 5 duties in the event of a claim.,The flight was delayed.,10
42,"In addition to section I 5, there are 5 duties in the event of a claim.",Flight delay.,10
43,1 Insured amount ,The insured amount can be seen in the table of benefits. ,10
43,The amount is insured.,The table of benefits shows the insured amount.,10
43,The insured amount is 1,The table of benefits has the insured amount in it.,10
44,2 Insured event ,If a connecting flight is missed due to a delay of at least three hours for which the first airline is solely responsible. ,10
44,2 events are insured.,"If a connecting flight is missed due to a delay of at least three hours, the first airline is solely responsible.",10
44,2 insured events.,The first airline is solely responsible for a delayed connecting flight if it is missed.,10
45,3 Insured benefits ,"Assumption of the additional costs (hotel, rebooking, telephone calls) involved in continuing the trip. This benefit is provided as a follow-up to the services provided by the airline. ",10
45,There are 3 insured benefits.,This benefit is provided as a follow-up to the services provided by the airline.,10
45,3 benefits are insured.,This benefit is provided as a follow up to the services provided by the airline.,10
46,4 Non-insured events (in addition to section I 4) ,If the insured person is responsible for the delay. ,10
46,There are 4 non-insured events.,The insured person is responsible for the delay.,10
46,"In addition to section I 4, there are 4 non-insured events.",If the insured person is responsible for the delay.,10
47,5 Duties in the event of a claim (in addition to section I 5) ,H Health care costs abroad ,10
47,In addition to section I 5 there are 5 duties in the event of a claim.,Health care costs abroad.,10
47,"In addition to section I 5, there are 5 duties in the event of a claim.",The health care costs abroad.,10
48,1 Insured amount ,The insured amount can be seen in the table of benefits. ,10
48,The amount is insured.,The table of benefits shows the insured amount.,10
48,The insured amount is 1,The table of benefits has the insured amount in it.,10
49,2 Insured persons ,Persons as per section I 1 are insured up to their 81st birthday. ,10
49,2 people are insured.,Section I 1 states that people are insured up to their 81st birthday.,10
49,2 people are insured,The section I 1 states that people are insured up to their 81st birthday.,10
50,3 Temporal and geographical scope ,"On expiry of this insurance cover, the health care cost cover abroad can be renewed following a four-week waiting period. Should it emerge in a loss event that this condition was not complied with, the loss will not qualify for cover. ",10
50,There is a temporal and geographical scope.,The health care cost cover abroad can be renewed after a four week waiting period.,10
50,There is a temporal and geographic scope.,The health care cost cover abroad can be renewed after a four week waiting period if the condition is met.,10
51,4 Insured events ,If the insured person becomes seriously ill (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19) during a trip or suffers a serious accident and emergency treatment is required. ,10
51,There are 4 insured events.,"If the insured person becomes seriously ill, including being diagnosed with an epidemic, emergency treatment is required.",10
51,4 insured events.,"If the insured person becomes seriously ill, including being diagnosed with an epidemic or a Pandemic disease, emergency treatment is required.",10
52,5 Insured benefits ,"Costs of any excess or deductibles in relation to statutory social insurance schemes (health insurance, accident insurance etc.) and any supplementary insurances. ",11
52,5 benefits are insured.,Statutory social insurance schemes and supplementary insurances have their own costs of excess or deductible.,11
52,5 insured benefits.,Statutory social insurance schemes have costs of excess or deductible in relation to it.,11
53,8 Duties in the event of a claim (in addition to section I 5) ,L Cash and bank account protection ,12
53,In addition to section I 5 there are 8 duties in the event of a claim.,Cash and bank account protection.,12
53,"In addition to section I 5, there are 8 duties in the event of a claim.",Bank account protection and cash protection.,12
54,1 Insured amount ,The insured amount can be seen in the table of benefits. ,12
54,The amount is insured.,The table of benefits shows the insured amount.,12
54,The insured amount is 1,The table of benefits has the insured amount in it.,12
55,2 Temporal and geographical scope ,Insurance cover applies worldwide exclusively for events outlined under section II L 3 and occurring exclusively during foreign travel. ,12
55,There is a temporal and geographical scope.,Insurance cover applies worldwide for events outlined under section II L 3.,12
55,There are two temporal and geographical scope.,Insurance cover applies worldwide for events outlined in section II L 3.,12
56,3 Insured events ,Financial losses incurred by the insured person when travelling abroad through the robbery of money (directly following withdrawal) are insured. ,12
56,3 events are insured.,Financial losses incurred by the insured person when travelling abroad through the robbery of money are insured.,12
56,3 insured events.,Financial losses incurred by the insured person when travelling abroad are insured.,12
57,4 Insured items ,The cash is insured that the insured person withdraws from a cash dispenser and that is taken from him/her with the use or threat of violence directly after withdrawal of the cash. ,13
57,There are 4 insured items.,The cash is insured because it is taken from the insured person with the use or threat of violence after they withdraw cash.,13
57,4 items are insured.,The cash is insured because it is taken from the insured person with the use or threat of violence after they withdraw cash from a cash machine.,13
58,5 Non-insured events and benefits (in addition to section I 4) ,Losses arising from misuse by an insured person. ,13
58,There are 5 non-insured events and benefits.,Losses arise from misuse by an insured person.,13
58,Non-insured events and benefits are included in section I 4.,There are losses from misuse by an insured person.,13
59,6 Duties in the event of a claim (in addition to section I 5) ,Delivering spare parts when abroad ,13
59,In addition to section I 5 there are 6 duties in the event of a claim.,"When abroad, deliver spare parts.",13
59,In addition to section I 5 there are duties in the event of a claim.,"When abroad, spare parts are delivered.",13
60,"If the competent garage close by is unable to obtain the spare parts needed, Allianz Travel will organise and assume the costs for immediate delivery if possible. The costs of the spare parts are not covered. ",,13
60,The costs of the spare parts are not covered.,There is a,13
60,The costs of the spare parts are not covered if the garage is unable to get them.,There is a person,13
61,5 Non-insured events and benefits (in addition to section I 4) ,N Legal protection ,14
61,There are 5 non-insured events and benefits.,Legal protection.,14
61,Non-insured events and benefits are included in section I 4.,Legal protection is provided.,14
62,1 Insured amount ,The insured amount can be seen in the table of benefits. ,14
62,The amount is insured.,The table of benefits shows the insured amount.,14
62,The insured amount is 1,The table of benefits has the insured amount in it.,14
63,2 Subject and geographical scope ,The insured person enjoys legal protection exclusively for trips outside Switzerland and the Principality of Liechtenstein. The risk bearer is CAP Legal Protection Insurance Company Ltd. based in Wallisellen. ,14
63,Subject and geographical scope.,The risk bearer is CAP Legal Protection Insurance Company.,14
63,Subject and geographical scope are included.,"The risk bearer is CAP Legal Protection Insurance Company, based in Wallisellen.",14
64,3 Exclusively insured disputes and proceedings ,transport of persons or luggage. ,14
64,There are 3 exclusively insured disputes and proceedings.,People are transported or luggage is transported.,14
64,There are 3 exclusively insured disputes.,People or luggage are transported.,14
65,4 Insured benefits ,bail (only by way of loan to prevent being remanded in custody). Deducted from that are the intervention costs awarded to the insured person during the proceedings or in similar circumstances. ,14
65,There are insured benefits.,Intervention costs are awarded to the insured person during the proceedings or in similar circumstances.,14
65,4 benefits are insured.,"Intervention costs are awarded to the insured person during the proceedings or in similar circumstances, if bail is only by way of loan.",14
66,5 Processing of a claim ,"In the event of differences of opinion between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict on the matter from an arbitrator, selected by the insured person and CAP jointly. ",14
66,A claim is processed.,"In the event of a disagreement between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict from an arbitrator.",14
66,There is a claim.,"In the event of a disagreement between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person can request a legal verdict from an arbitrator.",14
67,6 Non-insured cases and benefits ,O Overview of services excluding assumption of costs ,14
67,There are 6 non-insured cases.,There is an overview of services without the assumption of costs.,14
67,There are 6 non-insured cases and benefits.,There is an overview of services that do not include the assumption of costs.,14
68,1 Travel hotline ,"Notification service for relatives and employers If Allianz Travel organises measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken. ",14
68,The travel hotline.,"Notification service for relatives and employers if Allianz Travel organizes measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken.",14
68,The travel hotline is 1,"Notification service for relatives and employers if Allianz Travel arranges measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken.",14
69,2 24h medical advisory service ,"advice on questions related to symptoms of illness, progression of a disease, therapies and prevention â€“ in the broadest sense relating to health and illness. ",15
69,2 hours medical advisory service.,"Advice on questions related to symptoms of illness, progression of a disease, therapies and prevention is the broadest part of advice on health and illness.",15
69,2 hours medical advisory service,"Advice on questions related to symptoms of illness, progression of a disease, therapies and prevention is the broadest part of the advice.",15
70,3 Advance payment to a hospital ,"If the insured person experiences a serious illness, a serious accident, complications associated with pregnancy or a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalised outside their country of residence, Allianz Travel will make an advance payment of up to CHF 5,000 towards hospital costs where necessary. Allianz Travel must be reimbursed for the advance payment within 30 days of leaving the hospital. ",15
70,3 payments made to a hospital.,"If the insured person experiences a serious illness, a serious accident, a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalized outside of their country of residence, Allianz Travel will make an advance payment of up to 5,000 towards hospital costs.",15
70,3 payments to a hospital.,"If the insured person experiences a serious illness, a serious accident, a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalized outside of their country of residence, Allianz Travel will make an advance payment of up to 5,000 dollars.",15
71,4 Credit and customer card blocking service ,"The insured person can request assistance in the event of robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name. Allianz Travel will attempt to block all specified cards with the corresponding institutions (card company, bank, post office etc.). If the block is not performed by an institution responsible, Allianz Travel will inform the insured person accordingly and provide him or her with the telephone number for the institution. ",15
71,Credit and customer card blocking services are offered.,"The insured person can request assistance in the event of a robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name.",15
71,Credit and customer card blocking service is offered.,"The insured person can request assistance in the event of a robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland.",15
72,5 Home care ,"If, during the trip, there is an emergency at the insured personâ€™s permanent residence in Switzerland and this is due to fire, a natural event, break-in, water-related events or glass breakage, Allianz Travel will provide the insured person with the telephone number of a suitable tradesman. The tradesman will be commissioned by the insured person and perform immediate work to ensure there is no further loss. The costs for the emergency rectification of the loss must be borne by the insured person. The insured person receives the invoice directly from the tradesman. ",15
72,5 home care jobs.,"If there is an emergency at the insured person's permanent residence in Switzerland and this is due to fire, a natural event, break-in, water-related events or glass breakage, the insured person will be provided with the telephone number of a suitable tradesman.",15
72,Home care is provided.,"If there is an emergency at the insured person's permanent residence in Switzerland and this is due to fire, a natural event, break-in, water-related events or glass breakage, the insured person will be provided with the telephone number of a suitable tradesman by Allianz Travel.",15
73,,,15
73,There is a,There is a,15
73,There is a person,There is a person,15
