,Question,Answer,Page
42,Section I 1 states that people are insured up to their 26th birthday.,Accidents and breakdown assistance.,14
42,The section I 1 states that people are insured up to their 26th birthday.,Assist with breakdown and accidents.,14
43,1 Insured amount ,The insured amount can be seen in the table of benefits. ,14
43,The amount is insured.,The table of benefits shows the insured amount.,14
43,The insured amount is 1,The table of benefits has the insured amount in it.,14
44,2 Geographical scope ,"The insurance protection applies exclusively to events in the following countries: Albania, Andorra, Austria, Belgium, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus (Greek part), Czech Republic, Denmark, Estonia, Finland, France, Germany, Gibraltar, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey (European part), the United Kingdom. Switzerland is understood to include the Principality of Liechtenstein. The insurance cover extends to transport by sea if the points of departure and destination are in the covered geographical area. ",14
44,There is a geographical scope.,"The insurance protection only applies to events in the following countries: Albania, Andorra, Austria, Belgium, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus, Cyprus (Greek part), Czech Republic, Denmark, Estonia, Finland, France, Germany, Gibraltar, Greece, Hungary, Ireland",14
44,There is a scope for 2 geographical areas.,"The insurance protection only applies to events in the following countries: Albania, Andorra, Austria, Belgium, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus, Cyprus (Greek part), Czech Republic, Danes, Finn, France, Germany, Gibraltar, Greece, Hungary, Ireland, and",14
45,3 Insured vehicles ,The motor vehicle driven by the insured person (cars and caravans up to 3.5 t plus motorbikes). Licensed camping trailers and motor homes are also covered. ,14
45,3 vehicles are insured.,Cars and caravans up to 3.5 t plus motorbikes are covered.,14
45,3 vehicles are insured,Cars and caravans up to 3.5 t are covered.,14
46,4 Insured events and benefits ,"Delivering spare parts when abroad If the competent garage close by is unable to obtain the spare parts needed, Allianz Travel will organise and assume the costs for immediate delivery if possible. The costs of the spare parts are not covered. ",14
46,There are insured events and benefits.,The costs of the spare parts are not covered if the garage is unable to get the spare parts.,14
46,4 insured events.,The costs of the spare parts are not covered if the garage is unable to get them.,14
47,5 Non-insured events and benefits (in addition to section I 4) ,O Legal protection ,15
47,There are 5 non-insured events and benefits.,Legal protection.,15
47,Non-insured events and benefits are included in section I 4.,Legal protection is provided.,15
48,1 Insured amount ,The insured amount can be seen in the table of benefits. ,15
48,The amount is insured.,The table of benefits shows the insured amount.,15
48,The insured amount is 1,The table of benefits has the insured amount in it.,15
49,2 Subject and geographical scope ,The insured person enjoys legal protection exclusively for trips outside Switzerland and the Principality of Liechtenstein. The risk bearer is CAP Legal Protection Insurance Company Ltd. based in Wallisellen. ,15
49,Subject and geographical scope.,The risk bearer is CAP Legal Protection Insurance Company.,15
49,Subject and geographical scope are included.,"The risk bearer is CAP Legal Protection Insurance Company, based in Wallisellen.",15
50,3 Exclusively insured disputes and proceedings ,transport of persons or luggage. ,15
50,There are 3 exclusively insured disputes and proceedings.,People are transported or luggage is transported.,15
50,There are 3 exclusively insured disputes.,People or luggage are transported.,15
51,4 Insured benefits ,Deducted from that are the intervention costs awarded to the insured person during the proceedings or in similar circumstances. ,15
51,There are insured benefits.,Intervention costs are awarded to the insured person during proceedings or in similar circumstances.,15
51,4 benefits are insured.,Intervention costs are awarded to the insured person during the proceedings or in similar circumstances.,15
52,5 Processing of a claim ,"In the event of differences of opinion between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict on the matter from an arbitrator, selected by the insured person and CAP jointly. ",15
52,A claim is processed.,"In the event of a disagreement between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict from an arbitrator.",15
52,There is a claim.,"In the event of a disagreement between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person can request a legal verdict from an arbitrator.",15
53,,,15
53,There is a,There is a,15
53,There is a person,There is a person,15
