,Question,Answer,Page
38,Subject and geographical scope are included.,"The risk bearer is CAP Legal Protection Insurance Company, based in Wallisellen.",12
39,3 Exclusively insured disputes and proceedings ,transport of persons or luggage. ,12
39,There are 3 exclusively insured disputes and proceedings.,People are transported or luggage is transported.,12
39,There are 3 exclusively insured disputes.,People or luggage are transported.,12
40,4 Insured benefits ,bail (only by way of loan to prevent being remanded in custody). Deducted from that are the intervention costs awarded to the insured person during the proceedings or in similar circumstances. ,12
40,There are insured benefits.,Intervention costs are awarded to the insured person during the proceedings or in similar circumstances.,12
40,4 benefits are insured.,"Intervention costs are awarded to the insured person during the proceedings or in similar circumstances, if bail is only by way of loan.",12
41,5 Processing of a claim ,"In the event of differences of opinion between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict on the matter from an arbitrator, selected by the insured person and CAP jointly. ",12
41,A claim is processed.,"In the event of a disagreement between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict from an arbitrator.",12
41,There is a claim.,"In the event of a disagreement between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person can request a legal verdict from an arbitrator.",12
42,6 Non-insured cases and benefits ,N Overview of services excluding assumption of costs ,12
42,There are 6 non-insured cases.,There is an overview of services that are not assumed of costs.,12
42,There are 6 non-insured cases and benefits.,There is an overview of services that do not include the assumption of costs.,12
43,1 Travel hotline ,"Notification service for relatives and employers If Allianz Travel organises measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken. ",12
43,The travel hotline.,"Notification service for relatives and employers if Allianz Travel organizes measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken.",12
43,The travel hotline is 1,"Notification service for relatives and employers if Allianz Travel arranges measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken.",12
44,2 24h medical advisory service ,"advice on questions related to symptoms of illness, progression of a disease, therapies and prevention â€“ in the broadest sense relating to health and illness. ",13
44,2 hours medical advisory service.,"Advice on questions related to symptoms of illness, progression of a disease, therapies and prevention is the broadest part of advice on health and illness.",13
44,2 hours medical advisory service,"Advice on questions related to symptoms of illness, progression of a disease, therapies and prevention is the broadest part of the advice.",13
45,3 Advance payment to a hospital ,"If the insured person experiences a serious illness, a serious accident, complications associated with pregnancy or a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalised outside their country of residence, Allianz Travel will make an advance payment of up to CHF 5,000 towards hospital costs where necessary. Allianz Travel must be reimbursed for the advance payment within 30 days of leaving the hospital. ",13
45,3 payments made to a hospital.,"If the insured person experiences a serious illness, a serious accident, a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalized outside of their country of residence, Allianz Travel will make an advance payment of up to 5,000 towards hospital costs.",13
45,3 payments to a hospital.,"If the insured person experiences a serious illness, a serious accident, a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalized outside of their country of residence, Allianz Travel will make an advance payment of up to 5,000 dollars.",13
46,4 Credit and customer card blocking service ,"The insured person can request assistance in the event of robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name. Allianz Travel will attempt to block all specified cards with the corresponding institutions (card company, bank, post office etc.). If the block is not performed by an institution responsible, Allianz Travel will inform the insured person accordingly and provide him or her with the telephone number for the institution. ",13
46,Credit and customer card blocking services are offered.,"The insured person can request assistance in the event of a robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name.",13
46,Credit and customer card blocking service is offered.,"The insured person can request assistance in the event of a robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland.",13
47,5 Home care ,"event, break-in, water-related events or glass breakage, Allianz Travel will provide the insured person with the telephone number of a suitable tradesman. The tradesman will be commissioned by the insured person and perform immediate work to ensure there is no further loss. The costs for the emergency rectification of the loss must be borne by the insured person. The insured person receives the invoice directly from the tradesman. ",13
47,5 home care jobs.,The insured person will be given a phone number of a suitable tradesman.,13
47,Home care is provided.,The insured person will be given a phone number of a suitable tradesman to call in the event of a loss.,13
48,,,13
48,There is a,There is a,13
48,There is a person,There is a person,13
