,Question,Answer,Page
41,The travel hotline is 1,"Notification service for relatives and employers if Allianz Travel arranges measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken.",13
42,2 24h medical advisory service ,"advice on questions related to symptoms of illness, progression of a disease, therapies and prevention â€“ in the broadest sense relating to health and illness. ",13
42,2 hours medical advisory service.,"Advice on questions related to symptoms of illness, progression of a disease, therapies and prevention is the broadest part of advice on health and illness.",13
42,2 hours medical advisory service,"Advice on questions related to symptoms of illness, progression of a disease, therapies and prevention is the broadest part of the advice.",13
43,3 Advance payment to a hospital ,"If the insured person experiences a serious illness, a serious accident, complications associated with pregnancy or a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalised outside their country of residence, Allianz Travel will make an advance payment of up to CHF 5,000 towards hospital costs where necessary. Allianz Travel must be reimbursed for the advance payment within 30 days of leaving the hospital. ",13
43,3 payments made to a hospital.,"If the insured person experiences a serious illness, a serious accident, a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalized outside of their country of residence, Allianz Travel will make an advance payment of up to 5,000 towards hospital costs.",13
43,3 payments to a hospital.,"If the insured person experiences a serious illness, a serious accident, a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalized outside of their country of residence, Allianz Travel will make an advance payment of up to 5,000 dollars.",13
44,4 Credit and customer card blocking service ,,13
44,Credit and customer card blocking services are offered.,There is a,13
44,Credit and customer card blocking service is offered.,There is a person,13
45,"The insured person can request assistance in the event of robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name. Allianz Travel will attempt to block all specified cards with the corresponding institutions (card company, bank, post office etc.). If the block is not performed by an institution responsible, Allianz Travel will inform the insured person accordingly and provide him or her with the telephone number for the institution. ",,13
45,"The insured person can request assistance in the event of a robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name.",There is a,13
45,"The insured person can request assistance in the event of a robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland.",There is a person,13
46,,,13
46,There is a,There is a,13
46,There is a person,There is a person,13
