,Question,Answer,Page
13,"Allianz Travel stores data electronically or physically in compliance with the legal provisions. Persons whose data is processed by Allianz Travel have the right, in accordance with the Data Protection Act (DPA), to ask what data concerning them Allianz Travel actually processes; they may also request the rectification of incorrect data. ",The Common provisions to all insurance components only apply insofar as the Special provisions for the individual insurance or service components contain no provisions to the contrary. ,4
14,1 Insured persons ,"Persons with permanent residence in Switzerland are insured under section I 1.1 as well as persons living abroad, provided they booked their journey in Switzerland. ",4
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",4
16,3 Non-insured events and benefits ,"Activities related to an insured event are not insured, e.g. the cost of replacing the insured items or for law enforcement purposes. 3.11 Costs related to kidnappings are not insured. ",4
17,4 Duties in the event of a claim ,The claims forms are available on our website: www.allianz-travel.ch/claims ,4
18,5 Breach of duties ,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",4
19,6 Definitions ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",5
20,7 ,,5
21,8 Limitation period ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,5
22,9 ,,5
23,10 Hierarchy of regulations ,"In the event of linguistic differences between the French, Italian, English and German GTC, the German version will always apply where any doubt exists. ",5
24,11 Contact address ,Insured events ,8
25,"The insured person is entitled to a substitute journey if he/she has had to terminate the trip prematurely due to repatriation under medical supervision or an extra return journey as per sections II B 2, II B 3.2 and II B 3.3. ",,8
26,3 Insured benefit ,Persons as per section I 1 are insured up to their 81st birthday. ,9
27,3 Temporal and geographical scope ,K Luggage ,10
28,1 Insured amount ,"The insured personâ€™s luggage is insured including any items obtained on the trip, i.e. any items for personal use, which are taken on the journey or transferred to a transport company for carriage and owned by the insured person. ",10
29,4 Insured events ,delay in delivery/handover by a public transport company. ,10
30,5 Insured benefits ,The insured person must pay an excess of CHF 200 per claim in the event of theft. ,11
31,6 Non-insured items ,"theft, loss and destruction of cash (see insurance component Cash and bank account protection). ",11
32,7 Non-insured events and benefits (in addition to section I 3) ,"In the event of late delivery of luggage, costs arising at the destination airport or place of destination after the return flight are not insured. ",11
33,8 Conduct-related duties when travelling ,"Valuable items such as privately owned mobile devices and photo, film, video and audio equipment, and the accessories in each case, must be kept under separate lock and key (suitcase, locker, safe) in a closed room that is not generally accessible, when not being carried or used. The method of safekeeping must in all cases be appropriate to the value of the item. ",11
34,9 Duties in the event of a claim (in addition to section I 4) ,L Cash and bank account protection ,11
35,1 Insured amount ,The insured amount can be seen in the table of benefits. ,11
36,2 Temporal and geographical scope ,Insurance cover applies worldwide exclusively for events outlined under section II L 3 and occurring exclusively during foreign travel. ,11
37,3 Insured events ,Financial losses incurred by the insured person when travelling abroad through the robbery of money (directly following withdrawal) are insured. ,11
38,4 Insured items ,The cash is insured that the insured person withdraws from a cash dispenser and that is taken from him/her with the use or threat of violence directly after withdrawal of the cash. ,11
39,5 Non-insured events and benefits (in addition to section I 3) ,"Losses arising indirectly from misuse, e.g. lost profit or loss of interest. 5.4 Losses arising from misuse by an insured person. ",12
40,6 Duties in the event of a claim (in addition to section I 4) ,O Overview of services excluding assumption of costs ,13
41,1 Travel hotline ,"Notification service for relatives and employers If Allianz Travel organises measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken. ",13
42,2 24h medical advisory service ,"advice on questions related to symptoms of illness, progression of a disease, therapies and prevention â€“ in the broadest sense relating to health and illness. ",13
43,3 Advance payment to a hospital ,"If the insured person experiences a serious illness, a serious accident, complications associated with pregnancy or a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalised outside their country of residence, Allianz Travel will make an advance payment of up to CHF 5,000 towards hospital costs where necessary. Allianz Travel must be reimbursed for the advance payment within 30 days of leaving the hospital. ",13
44,4 Credit and customer card blocking service ,,13
45,"The insured person can request assistance in the event of robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name. Allianz Travel will attempt to block all specified cards with the corresponding institutions (card company, bank, post office etc.). If the block is not performed by an institution responsible, Allianz Travel will inform the insured person accordingly and provide him or her with the telephone number for the institution. ",,13
46,,,13
