,Question,Answer,Page
14,1 Insured persons ,Persons with permanent residence in Switzerland are insured under section I 1.1. ,5
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",5
16,3 Extension of the insurance cover ,"If the policyholder moves abroad during the contract term, the contract will lapse on the expiry date following the change of domicile. From the date of changing domicile, the insurance cover only applies for trips booked in Switzerland until the insurance expiry date. ",5
17,4 Non-insured events and benefits ,Costs related to kidnappings are not insured. ,5
18,5 Duties in the event of a claim ,Breach of duties ,5
19,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",Insured amount ,6
20,The insured amount is specified in the insurance policy. ,,6
21,2 Duration of cover ,Insured amount ,7
22,The insured amount can be seen in the table of benefits. ,,7
23,2 Insured events ,Additional communication costs in the event of a delayed return journey Assumption of any additional communication costs incurred (tele-phone/data package) up to a maximum of a further CHF 150 per event if the insured person has to extend the trip due to an insured event. ,8
24,4 Non-insured events and benefits (in addition to section I 4) ,C Travel assistance ,8
25,1 Insured amount ,The insured amount can be seen in the table of benefits. ,8
26,2 Insured events ,"Impact of document theft If theft of personal documents (passport, ID card, travel tickets or accommodation vouchers) makes it temporarily impossible for the insured person to continue the trip or make the return journey to Switzerland. ",8
27,3 Insured benefits ,"Assumption of the additional costs up to a total of CHF 1,500 per insured person if unforeseen expenses (taxi fares, costs of accommodation and telephone calls etc.) are incurred in connection with an insured event. These limits include an additional compensation limit of a maximum of CHF 200 for the costs of telephone calls. ",9
28,4 Non-insured events and benefits (in addition to section I 4) ,"Cost of meals, lost working time and other financial loss. ",9
29,5 Duties in the event of a claim (in addition to section I 5) ,Temporal and geographical scope ,9
30,"The insurance applies for journeys throughout the entire world, with the exception of Switzerland, the Principality of Liechtenstein and the country where the insured person is legally resident. ",,9
31,3 Insured event ,If a connecting flight is missed due to a delay of at least three hours for which the first airline is solely responsible. ,10
32,3 Insured benefits ,K Luggage ,12
33,1 Insured amount ,The insured amount is shown in the insurance policy and applies for one year. ,12
34,2 Geographical scope ,The insurance is valid worldwide. The insured person's place of residence under civil law is excluded. ,12
35,3 Insured items ,"The insured personâ€™s luggage is insured including any items obtained on the trip, i.e. any items for personal use, which are taken on the journey or transferred to a transport company for carriage and owned by the insured person. ",12
36,4 Insured events ,delay in delivery/handover by a public transport company. ,12
37,5 Insured benefits ,The insured person must pay an excess of CHF 200 per claim in the event of theft. ,12
38,6 Non-insured items ,"theft, loss and destruction of cash (see insurance component Cash and bank account protection). ",12
39,7 Non-insured events and benefits (in addition to section I 4) ,"In the event of late delivery of luggage, costs arising at the destination airport or place of destination after the return flight are not insured. ",12
40,8 Conduct-related duties when travelling ,"Valuable items such as privately owned mobile devices and photo, film, video and audio equipment, and the accessories in each case, must be kept under separate lock and key (suitcase, locker, safe) in a closed room that is not generally accessible, when not being carried or used. The method of safekeeping must in all cases be appropriate to the value of the item. ",12
41,9 Duties in the event of a claim (in addition to section I 5) ,Insured persons ,12
42,Persons as per section I 1 are insured up to their 26th birthday. ,N Breakdown and accident assistance ,14
43,1 Insured amount ,The insured amount can be seen in the table of benefits. ,14
44,2 Geographical scope ,"The insurance protection applies exclusively to events in the following countries: Albania, Andorra, Austria, Belgium, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus (Greek part), Czech Republic, Denmark, Estonia, Finland, France, Germany, Gibraltar, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey (European part), the United Kingdom. Switzerland is understood to include the Principality of Liechtenstein. The insurance cover extends to transport by sea if the points of departure and destination are in the covered geographical area. ",14
45,3 Insured vehicles ,The motor vehicle driven by the insured person (cars and caravans up to 3.5 t plus motorbikes). Licensed camping trailers and motor homes are also covered. ,14
46,4 Insured events and benefits ,"Delivering spare parts when abroad If the competent garage close by is unable to obtain the spare parts needed, Allianz Travel will organise and assume the costs for immediate delivery if possible. The costs of the spare parts are not covered. ",14
47,5 Non-insured events and benefits (in addition to section I 4) ,O Legal protection ,15
48,1 Insured amount ,The insured amount can be seen in the table of benefits. ,15
49,2 Subject and geographical scope ,The insured person enjoys legal protection exclusively for trips outside Switzerland and the Principality of Liechtenstein. The risk bearer is CAP Legal Protection Insurance Company Ltd. based in Wallisellen. ,15
50,3 Exclusively insured disputes and proceedings ,transport of persons or luggage. ,15
51,4 Insured benefits ,Deducted from that are the intervention costs awarded to the insured person during the proceedings or in similar circumstances. ,15
52,5 Processing of a claim ,"In the event of differences of opinion between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict on the matter from an arbitrator, selected by the insured person and CAP jointly. ",15
53,,,15
