,Question,Answer,Page
14,1 Insured persons ,Persons with permanent residence in Switzerland are insured under section I 1.1. ,5
15,2 Geographical scope ,"Unless otherwise specified in the Special provisions for the individual insurance or service components, the insurance applies worldwide or in Europe depending on the nature of the insurance or in compliance with the insurance policy details. ",5
16,3 Extension of the insurance cover ,"If the policyholder moves abroad during the contract term, the contract will lapse on the expiry date following the change of domicile. From the date of changing domicile, the insurance cover only applies for trips booked in Switzerland until the insurance expiry date. ",5
17,4 Non-insured events and benefits ,Costs related to kidnappings are not insured. ,5
18,5 Duties in the event of a claim ,Breach of duties ,5
19,"If the entitled person is in breach of his/her obligations, Allianz Travel can withhold or reduce the benefits. ",,5
20,7 Definitions ,"Allianz Travel reserves the right to adjust premiums for annual insurance policies and is accordingly entitled to request an amendment of the insurance contract. In this case, Allianz Travel will inform the policyholder of the premium adjustment in writing at least 30 days before it comes into effect. The policyholder has the right to terminate the contract with effect from when the premium adjustment would apply. The policyholderâ€™s termination of cover is valid, provided it is received by Allianz Travel no later than the last day before the premium adjustment comes into force. ",6
21,8 ,"If the insured or entitled person has been compensated by a liable third party or the third party's insurer, any compensation due under this contract is rendered void. If a claim is made against Allianz Travel instead of the liable party, the insured or entitled person must concede his/her liability claims up to the extent of the compensation received from Allianz Travel. ",6
22,9 ,,6
23,10 Limitation period ,Claims under the insurance contract expire five years after the occurrence of the event giving rise to the obligation to pay benefits. ,6
24,11 Place of jurisdiction and applicable law ,The Swiss Insurance Contract Act (ICA) applies in addition to these provisions. ,6
25,12 Hierarchy of regulations ,"In the event of linguistic differences between the French, Italian, English and German GTC, the German version will always apply where any doubt exists. ",6
26,13 Contact address ,B Medical assistance ,8
27,1 Insured amount ,The insured amount can be seen in the table of benefits. ,8
28,2 Insured events ,"Serious illness, serious accident, complications of pregnancy or unexpected worsening of a chronic illness If during the trip the insured person suffers a serious illness (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19), a serious accident, complications of pregnancy or a medically certified, unexpected worsening of a chronic illness. ",8
29,3 Insured benefits ,Additional communication costs in the event of a delayed return journey Assumption of any additional communication costs incurred (telephone/data package) up to a maximum of a further CHF 150 per event if the insured person has to extend the trip due to an insured event. ,8
30,4 Non-insured events and benefits (in addition to section I 4) ,C Travel assistance ,8
31,1 Insured amount ,The insured amount can be seen in the table of benefits. ,8
32,2 Insured events ,Strike ,8
33,If it can be proven that a strike (excluding a strike by the travel company or its service providers) makes it impossible for the insured person to continue the trip to the destination. ,"If theft of personal documents (passport, ID card, travel tickets or accommodation vouchers) makes it temporarily impossible for the insured person to continue the trip or make the return journey to Switzerland. ",9
34,3 Insured benefits ,"Assumption of the additional costs up to a total of CHF 1,500 per insured person if unforeseen expenses (taxi fares, costs of accommodation and telephone calls etc.) are incurred in connection with an insured event. These limits include an additional compensation limit of a maximum of CHF 200 for the costs of telephone calls. ",9
35,4 Non-insured events and benefits (in addition to section I 4) ,"Cost of meals, lost working time and other financial loss. ",9
36,5 Duties in the event of a claim (in addition to section I 5) ,E Search and rescue costs ,9
37,1 Insured amount ,,9
38,The insured amount can be seen in the table of benefits. ,,9
39,2 Temporal and geographical scope ,"The insurance applies for journeys throughout the entire world, with the exception of Switzerland, the Principality of Liechtenstein and the country where the insured person is legally resident. ",10
40,3 Insured event ,Telephone +41 44 202 00 00 Fax +41 44 283 33 33 ,10
41,4 Insured benefits ,Assumption of any necessary search and rescue costs. ,10
42,5 Duties in the event of a claim (in addition to section I 5) ,G Flight delay ,10
43,1 Insured amount ,The insured amount can be seen in the table of benefits. ,10
44,2 Insured event ,If a connecting flight is missed due to a delay of at least three hours for which the first airline is solely responsible. ,10
45,3 Insured benefits ,"Assumption of the additional costs (hotel, rebooking, telephone calls) involved in continuing the trip. This benefit is provided as a follow-up to the services provided by the airline. ",10
46,4 Non-insured events (in addition to section I 4) ,If the insured person is responsible for the delay. ,10
47,5 Duties in the event of a claim (in addition to section I 5) ,H Health care costs abroad ,10
48,1 Insured amount ,The insured amount can be seen in the table of benefits. ,10
49,2 Insured persons ,Persons as per section I 1 are insured up to their 81st birthday. ,10
50,3 Temporal and geographical scope ,"On expiry of this insurance cover, the health care cost cover abroad can be renewed following a four-week waiting period. Should it emerge in a loss event that this condition was not complied with, the loss will not qualify for cover. ",10
51,4 Insured events ,If the insured person becomes seriously ill (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19) during a trip or suffers a serious accident and emergency treatment is required. ,10
52,5 Insured benefits ,"Costs of any excess or deductibles in relation to statutory social insurance schemes (health insurance, accident insurance etc.) and any supplementary insurances. ",11
53,8 Duties in the event of a claim (in addition to section I 5) ,L Cash and bank account protection ,12
54,1 Insured amount ,The insured amount can be seen in the table of benefits. ,12
55,2 Temporal and geographical scope ,Insurance cover applies worldwide exclusively for events outlined under section II L 3 and occurring exclusively during foreign travel. ,12
56,3 Insured events ,Financial losses incurred by the insured person when travelling abroad through the robbery of money (directly following withdrawal) are insured. ,12
57,4 Insured items ,The cash is insured that the insured person withdraws from a cash dispenser and that is taken from him/her with the use or threat of violence directly after withdrawal of the cash. ,13
58,5 Non-insured events and benefits (in addition to section I 4) ,Losses arising from misuse by an insured person. ,13
59,6 Duties in the event of a claim (in addition to section I 5) ,Delivering spare parts when abroad ,13
60,"If the competent garage close by is unable to obtain the spare parts needed, Allianz Travel will organise and assume the costs for immediate delivery if possible. The costs of the spare parts are not covered. ",,13
61,5 Non-insured events and benefits (in addition to section I 4) ,N Legal protection ,14
62,1 Insured amount ,The insured amount can be seen in the table of benefits. ,14
63,2 Subject and geographical scope ,The insured person enjoys legal protection exclusively for trips outside Switzerland and the Principality of Liechtenstein. The risk bearer is CAP Legal Protection Insurance Company Ltd. based in Wallisellen. ,14
64,3 Exclusively insured disputes and proceedings ,transport of persons or luggage. ,14
65,4 Insured benefits ,bail (only by way of loan to prevent being remanded in custody). Deducted from that are the intervention costs awarded to the insured person during the proceedings or in similar circumstances. ,14
66,5 Processing of a claim ,"In the event of differences of opinion between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict on the matter from an arbitrator, selected by the insured person and CAP jointly. ",14
67,6 Non-insured cases and benefits ,O Overview of services excluding assumption of costs ,14
68,1 Travel hotline ,"Notification service for relatives and employers If Allianz Travel organises measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken. ",14
69,2 24h medical advisory service ,"advice on questions related to symptoms of illness, progression of a disease, therapies and prevention â€“ in the broadest sense relating to health and illness. ",15
70,3 Advance payment to a hospital ,"If the insured person experiences a serious illness, a serious accident, complications associated with pregnancy or a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalised outside their country of residence, Allianz Travel will make an advance payment of up to CHF 5,000 towards hospital costs where necessary. Allianz Travel must be reimbursed for the advance payment within 30 days of leaving the hospital. ",15
71,4 Credit and customer card blocking service ,"The insured person can request assistance in the event of robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name. Allianz Travel will attempt to block all specified cards with the corresponding institutions (card company, bank, post office etc.). If the block is not performed by an institution responsible, Allianz Travel will inform the insured person accordingly and provide him or her with the telephone number for the institution. ",15
72,5 Home care ,"If, during the trip, there is an emergency at the insured personâ€™s permanent residence in Switzerland and this is due to fire, a natural event, break-in, water-related events or glass breakage, Allianz Travel will provide the insured person with the telephone number of a suitable tradesman. The tradesman will be commissioned by the insured person and perform immediate work to ensure there is no further loss. The costs for the emergency rectification of the loss must be borne by the insured person. The insured person receives the invoice directly from the tradesman. ",15
73,,,15
