,Question,Answer,Page
17,3 Insured benefit ,The insured person will receive a travel voucher to the value of the originally booked arrangement if an insured events occurs. Any unused services under the arrangement and any reimbursements arising from repatriation or an extra return journey will be offset against any compensation entitlement. This benefit only applies to the person who is ill or has suffered an accident. ,9
18,4 Non-insured event (in addition to section I 3) ,If the insured personâ€™s repatriation or extra return journey was not arranged by the Allianz Travel emergency call centre. ,9
19,5 Duties in the event of a claim (in addition to section I 4) ,The insured amount can be seen in the table of benefits. ,9
20,2 Insured persons ,Persons as per section I 1 are insured up to their 81st birthday. ,9
21,3 Temporal and geographical scope ,"On expiry of this insurance cover, the health care cost cover abroad can be renewed following a four-week waiting period. Should it emerge in a loss event that this condition was not complied with, the loss will not qualify for cover. ",9
22,4 Insured events ,If the insured person becomes seriously ill (including being diagnosed with an epidemic or a pandemic disease such as e. g. COVID-19) during a trip or suffers a serious accident and emergency treatment is required. ,9
23,5 Insured benefits ,"The doctors at the Allianz Travel emergency call centre will agree to or refuse treatment in a private ward as per section II H 5.3 at their own discretion, taking account of the local medical conditions of the country in question and having considered the medical necessity or reasonableness of the treatment in question. In the event that the insured person receives treatment in a private ward without obtaining the agreement of the doctors at the Allianz Travel emergency call centre or despite them expressly assigning the person to a general ward, the insured person shall bear sole responsibility and the costs for this. ",9
24,6 Refund of costs ,"Costs of any excess or deductibles in relation to statutory social insurance schemes (health insurance, accident insurance etc.) and any supplementary insurances. ",10
25,8 Duties in the event of a claim (in addition to section I 4) ,J Collision damage waiver for rental vehicles (CDW) ,10
26,1 Insured amount ,The insured amount can be seen in the table of benefits. ,10
27,2 Duration of cover ,Cover starts on the date given in the rental agreement and ends on the date given in the rental agreement or at the latest when the vehicle is returned to the rental firm. The cover applies to losses triggered during the rental agreement term. ,10
28,3 Insured vehicles ,"Cars, motor homes, campervans, caravans, motorhomes, minibuses or motorbikes hired by an insured person during the trip are insured (definitive list). Taxis, driving school vehicles and vehicles used on a car-sharing basis (e.g. Mobility) are not covered. ",10
29,4 Insured events ,Damage to the hired vehicle or any loss resulting from the theft of the hired vehicle during the rental period are insured. The condition for payment is a covered event triggered by another insurance and a resulting excess. ,10
30,5 Insured benefit ,"If the insured loss as per section II J 4 does not amount to the excess owed under the contract, Allianz Travel will assume the full costs, provided they relate to an insured event. ",10
31,6 Non-insured events (in addition to section I 3) ,Claims rejected by the provider of comprehensive or theft insurance. ,10
32,7 Duties in the event of a claim (in addition to section I 4) ,L Breakdown and accident assistance ,11
33,1 Insured amount ,"Bulgaria, Croatia, Cyprus (Greek part), Czech Republic, Denmark, Estonia, Finland, France, Germany, Gibraltar, Greece, Hungary, Iceland, Ireland, Italy, Kosovo, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey (European part), the United Kingdom. Switzerland is understood to include the Principality of Liechtenstein. The insurance cover extends to transport by sea if the points of departure and destination are in the covered geographical area. ",11
34,3 Insured vehicles ,The motor vehicle driven by the insured person (cars and caravans up to 3.5 t plus motorbikes). Licensed camping trailers and motor homes are also covered. ,11
35,4 Insured events and benefits ,"Delivering spare parts when abroad If the competent garage close by is unable to obtain the spare parts needed, Allianz Travel will organise and assume the costs for immediate delivery if possible. The costs of the spare parts are not covered. ",11
36,5 Non-insured events and benefits (in addition to section I 3) ,M Legal protection ,12
37,1 Insured amount ,The insured amount can be seen in the table of benefits. ,12
38,2 Subject and geographical scope ,The insured person enjoys legal protection exclusively for trips outside Switzerland and the Principality of Liechtenstein. The risk bearer is CAP Legal Protection Insurance Company Ltd. based in Wallisellen. ,12
39,3 Exclusively insured disputes and proceedings ,transport of persons or luggage. ,12
40,4 Insured benefits ,bail (only by way of loan to prevent being remanded in custody). Deducted from that are the intervention costs awarded to the insured person during the proceedings or in similar circumstances. ,12
41,5 Processing of a claim ,"In the event of differences of opinion between the insured person and CAP regarding the measures to take by way of settlement of the loss event, the insured person may request a legal verdict on the matter from an arbitrator, selected by the insured person and CAP jointly. ",12
42,6 Non-insured cases and benefits ,N Overview of services excluding assumption of costs ,12
43,1 Travel hotline ,"Notification service for relatives and employers If Allianz Travel organises measures, it will inform the relatives and employer of the insured person where necessary about the facts of the case and the measures taken. ",12
44,2 24h medical advisory service ,"advice on questions related to symptoms of illness, progression of a disease, therapies and prevention â€“ in the broadest sense relating to health and illness. ",13
45,3 Advance payment to a hospital ,"If the insured person experiences a serious illness, a serious accident, complications associated with pregnancy or a medically confirmed, unexpected worsening of a chronic condition during the trip and needs to be hospitalised outside their country of residence, Allianz Travel will make an advance payment of up to CHF 5,000 towards hospital costs where necessary. Allianz Travel must be reimbursed for the advance payment within 30 days of leaving the hospital. ",13
46,4 Credit and customer card blocking service ,"The insured person can request assistance in the event of robbery, theft, loss or misplacement of bank, post office, credit and customer cards and personal ID issued in Switzerland in their name. Allianz Travel will attempt to block all specified cards with the corresponding institutions (card company, bank, post office etc.). If the block is not performed by an institution responsible, Allianz Travel will inform the insured person accordingly and provide him or her with the telephone number for the institution. ",13
47,5 Home care ,"event, break-in, water-related events or glass breakage, Allianz Travel will provide the insured person with the telephone number of a suitable tradesman. The tradesman will be commissioned by the insured person and perform immediate work to ensure there is no further loss. The costs for the emergency rectification of the loss must be borne by the insured person. The insured person receives the invoice directly from the tradesman. ",13
48,,,13
